ubicacion_sonda,fecha_medicion,intensidad_promedio,maximo_permitido,porcentaje_promedio,latitud,longitud
Bogota_AEROCIVIL,2020-04-09,6.910916666666666,28,24.681874999999998,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-10,6.953833333333334,28,24.83525,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-11,7.030291666666667,28,25.108291666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-12,7.029166666666667,28,25.104333333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-13,6.882583333333333,28,24.580916666666667,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-14,6.884666666666666,28,24.587958333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-15,6.92925,28,24.747208333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-16,6.966541666666667,28,24.880541666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-17,7.186541666666667,28,25.66645833333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-18,7.163749999999999,28,25.58533333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-19,7.136125000000001,28,25.485875,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-20,7.046974789915967,28,25.167773109243697,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-21,7.169033613445378,28,25.603655462184875,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-22,7.035696202531645,28,25.127088607594935,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-23,7.045611814345992,28,25.162742616033754,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-24,6.834388185654008,28,24.408354430379745,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-25,6.865822784810127,28,24.520759493670887,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-26,6.828166666666666,28,24.386208333333332,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-27,6.945625000000001,28,24.80625,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-28,6.962791666666666,28,24.867375,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-29,7.000125,28,25.00025,4.69578,-74.139405
Bogota_AEROCIVIL,2020-04-30,6.952625,28,24.830708333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-01,6.8093650793650795,28,24.31904761904762,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-02,6.983833333333333,28,24.941916666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-03,7.025,28,25.089499999999997,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-04,6.951333333333333,28,24.8265,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-05,6.997416666666667,28,24.99075,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-06,6.976083333333333,28,24.914583333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-07,6.9591666666666665,28,24.854,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-08,7.05425,28,25.193583333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-09,6.9865,28,24.95175,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-10,6.976333333333333,28,24.915583333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-11,6.939583333333333,28,24.784583333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-12,6.996416666666667,28,24.987166666666667,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-13,6.972166666666666,28,24.900583333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-14,7.063666666666666,28,25.227666666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-15,6.992583333333333,28,24.973583333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-16,6.988083333333334,28,24.957083333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-17,7.070083333333333,28,25.250583333333335,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-18,6.958666666666667,28,24.852500000000003,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-19,7.053333333333333,28,25.190916666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-20,7.073166666666666,28,25.2615,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-21,7.0295,28,25.105083333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-22,7.035,28,25.125166666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-23,7.094416666666667,28,25.33716666666667,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-24,7.0945,28,25.337583333333335,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-25,7.026083333333333,28,25.093083333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-26,7.109583333333333,28,25.391333333333332,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-27,7.0104999999999995,28,25.037416666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-28,7.026916666666667,28,25.09625,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-29,6.8629999999999995,28,24.510916666666667,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-30,6.9655000000000005,28,24.876416666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-05-31,6.928833333333333,28,24.745833333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-01,7.0015833333333335,28,25.005916666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-02,7.073916666666666,28,25.264166666666664,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-03,7.1985,28,25.708666666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-04,6.889083333333334,28,24.60408333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-05,6.963416666666666,28,24.869000000000003,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-06,7.000416666666666,28,25.001666666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-07,6.910666666666667,28,24.68075,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-08,7.0185,28,25.066,4.69578,-74.139405
